iter	Passed	Remaining
402	11560	17124
403	11591	17100
404	11619	17070
405	11647	17040
406	11683	17022
407	11707	16987
408	11735	16957
409	11766	16932
410	11793	16900
411	11817	16866
412	11850	16842
413	11879	16815
414	11906	16783
415	11936	16757
416	11967	16731
417	11994	16700
418	12024	16674
419	12053	16645
420	12080	16613
421	12106	16581
422	12138	16558
423	12166	16527
424	12192	16495
425	12218	16462
426	12250	16438
427	12281	16414
428	12312	16388
429	12342	16361
430	12374	16336
431	12401	16305
432	12432	16280
433	12462	16253
434	12489	16221
435	12519	16195
436	12546	16163
437	12575	16135
438	12603	16105
439	12632	16078
440	12663	16051
441	12690	16021
442	12714	15986
443	12746	15961
444	12774	15931
445	12807	15908
446	12838	15883
447	12868	15855
448	12890	15819
449	12917	15788
450	12945	15758
451	12973	15728
452	13002	15700
453	13031	15672
454	13058	15641
455	13083	15608
456	13113	15581
457	13141	15551
458	13169	15521
459	13191	15486
460	13220	15457
461	13250	15430
462	13278	15400
463	13305	15370
464	13336	15344
465	13365	15315
466	13389	15281
467	13417	15251
468	13448	15226
469	13479	15200
470	13506	15169
471	13551	15159
472	13577	15127
473	13605	15098
474	13630	15065
475	13657	15035
476	13687	15007
477	13715	14977
478	13743	14948
479	13771	14919
480	13797	14887
481	13827	14860
482	13856	14832
483	13887	14805
484	13912	14773
485	13942	14745
486	13971	14717
487	13999	14688
488	14024	14655
489	14053	14627
490	14082	14598
491	14110	14568
492	14139	14541
493	14165	14509
494	14190	14476
495	14220	14449
496	14252	14424
497	14280	14395
498	14318	14375
499	14348	14348
500	14375	14318
501	14402	14287
502	14427	14255
503	14453	14223
504	14484	14197
505	14514	14170
506	14546	14144
507	14573	14114
508	14600	14084
509	14635	14061
510	14677	14045
511	14708	14018
512	14739	13992
513	14768	13964
514	14799	13937
515	14829	13909
516	14857	13880
517	14880	13846
518	14909	13817
519	14941	13792
520	14968	13762
521	14999	13735
522	15031	13709
523	15058	13678
524	15091	13654
525	15120	13625
526	15152	13600
527	15176	13567
528	15202	13535
529	15234	13509
530	15258	13477
531	15285	13446
532	15315	13419
533	15345	13391
534	15370	13359
535	15398	13329
536	15429	13303
537	15455	13272
538	15487	13246
539	15513	13214
540	15543	13187
541	15569	13156
542	15595	13125
543	15624	13097
544	15652	13067
545	15677	13035
546	15705	13006
547	15736	12980
548	15760	12947
