iter	Logloss
0	0.6551143278
1	0.62225068
2	0.5909774402
3	0.5632892313
4	0.5420716391
5	0.5250621674
6	0.5081740162
7	0.4960028301
8	0.4846396923
9	0.4739994767
10	0.4659056449
11	0.4592501017
12	0.452817108
13	0.4466413621
14	0.4416629675
15	0.435984022
16	0.4312119343
17	0.4279673245
18	0.4237077335
19	0.4214265372
20	0.4188405478
21	0.415881445
22	0.4124901527
23	0.4103340488
24	0.408746052
25	0.4069258257
26	0.4055345945
27	0.4029983605
28	0.4013086148
29	0.4001098682
30	0.3989315181
31	0.3977864934
32	0.3965637462
33	0.3956751071
34	0.3943130766
35	0.3933909925
36	0.3921905217
37	0.3914654635
38	0.3905186209
39	0.3895305071
40	0.3879783917
41	0.3874381486
42	0.3865260573
43	0.3859934158
44	0.3853308256
45	0.3849251777
46	0.3844549642
47	0.3838403168
48	0.3833971208
49	0.3829587052
50	0.3822095761
51	0.3816242469
52	0.381178193
53	0.3806147395
54	0.3802940987
55	0.3797543748
56	0.3793039758
57	0.3789446198
58	0.3784163087
59	0.3779466567
60	0.3773281173
61	0.3769599388
62	0.37648897
63	0.3760758509
64	0.3757447859
65	0.3754677238
66	0.3751870043
67	0.3748647373
68	0.3745350608
69	0.3741749281
70	0.3738745536
71	0.3733247604
72	0.3730983239
73	0.3726666974
74	0.3723523308
75	0.3720459082
76	0.3717475685
77	0.371244504
78	0.3710419971
79	0.370803022
80	0.3705103317
81	0.3702298184
82	0.3700037192
83	0.3697740766
84	0.3694830613
85	0.3693079501
86	0.3690322953
87	0.3688160795
88	0.3686290398
89	0.3682385202
90	0.3680764375
91	0.3679240842
92	0.367693743
93	0.3674609878
94	0.3673190309
95	0.3671363952
96	0.3668512782
97	0.3666910974
98	0.3664881692
99	0.3663497735
100	0.3661993572
101	0.3659794547
102	0.3657960038
103	0.3655709634
104	0.3653862604
105	0.3651897119
106	0.3650051643
107	0.3646610738
108	0.364164934
109	0.3639488019
110	0.3637656081
111	0.3635452779
112	0.3634167604
113	0.3632720672
114	0.3630912809
115	0.3628741325
116	0.3625482756
117	0.3623633899
118	0.3622008924
119	0.3620380921
120	0.3617822495
121	0.3616547333
122	0.3612074343
123	0.3610519437
124	0.3608325352
125	0.3606597451
126	0.3604531774
127	0.360166396
128	0.3600080168
129	0.3598237229
130	0.3595969184
131	0.3594493115
132	0.3593559431
133	0.3590360045
134	0.3588445815
135	0.3585807743
136	0.3583978307
137	0.3582526681
138	0.3580136014
139	0.3578837442
140	0.3577453027
141	0.3576366124
142	0.3575068079
143	0.3573635245
144	0.357220749
145	0.3571311211
146	0.356979351
147	0.356787975
148	0.3566315311
149	0.356505128
150	0.3561705553
151	0.3560517018
152	0.3559340442
153	0.3558209817
154	0.3557105766
155	0.3555384115
156	0.3554582188
157	0.3553633641
158	0.3552492465
159	0.3550035671
160	0.3548342769
161	0.3546834304
162	0.3544570112
163	0.3543544121
164	0.3542212367
165	0.3541163467
166	0.3539844886
167	0.353897179
168	0.3537226864
169	0.3536501227
170	0.3535632671
171	0.3534723935
172	0.353393384
173	0.3532590813
174	0.3531095162
175	0.3530277686
176	0.3529527426
177	0.3528062573
178	0.3527349489
179	0.3526597593
